page,rank,rank_change,product_id,product_name,price_band,shop_name,user_payment_amount,click_count,deal_count,click_deal_conversion,product_row_key,product_image_url,shop_image_url
1,1,持平,3743726306211266679,【周年狂欢购】永和经典原味豆浆粉营养高蛋白早餐纯豆浆粉狂欢大包,¥99,永和豆浆冲饮旗舰店,"¥1,000万 - ¥2,500万",100万 - 250万,10万 - 25万,25% - 30%,3743726306211266679_1,https://p3-aio.ecombdimg.com/obj/ecom-shop-material/jpeg_m_2b5b3f8a665be862e261bc59d4dfa313_sx_283768_www800-800,https://p6-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/0b962dc4bf5c4626942aa91b99f00d5b~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818400657&x-signature=RCxl8V2Qnu%2B873tqOajngE6GxJQ%3D
1,2,4,3831708655561080887,【与辉定制】 光明5.0蛋白厚牛乳200ml*15盒*2箱,¥99,光明官方旗舰店,"¥750万 - ¥1,000万",250万 - 500万,7.5万 - 10万,15% - 20%,3831708655561080887_2,https://p3-aio.ecombdimg.com/obj/ecom-shop-material/jpeg_m_43ad45c4c7675d7c379681c3a74ba2e8_sx_404121_www800-800,https://p3-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/a324a3e1932a4da6ba9ae520d7a8e65e~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818402193&x-signature=x3HRAJFaNc0CBQPReew2MaYFNHc%3D
1,3,82,3684900084786528329,东方甄选自营沙漠纯牛奶4.0蛋白营养早餐高钙健身学生日期新鲜,¥113-¥432,东方甄选官方旗舰店,¥500万 - ¥750万,50万 - 75万,5万 - 7.5万,15% - 20%,3684900084786528329_3,https://p9-aio.ecombdimg.com/obj/ecom-shop-material/jpeg_m_dd1d25826e1c3415df53753d551991f1_sx_290463_www800-800,https://p6-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/e099e132c284459195df7b1538a5334f~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818402809&x-signature=6pj60AYqXmlV76y%2FXHTGlfZOI20%3D
1,4,4 首次上榜,3835569072997793889,五谷磨房黑之养核桃芝麻黑豆粉高钙高蛋白营养健康早餐546g,¥175,五谷磨房官方旗舰店,¥500万 - ¥750万,100万 - 250万,7.5万 - 10万,15% - 20%,3835569072997793889_4,https://p3-aio.ecombdimg.com/obj/ecom-shop-material/jpeg_m_3319df1034d909a58d265c472e298986_sx_559239_www800-800,https://p3-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/fe392d815feb409db5ff3f45d0e4f496~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818401719&x-signature=drKRiAKM8y6TytCy5bgt1yUIfLM%3D
1,5,5 2,3816115005837935103,邮政六黑高钙即食有机大粒纯燕麦片组合营养饱腹早餐健康代餐,¥99,中国邮政集团有限公司河北省井陉县分公司,¥500万 - ¥750万,50万 - 75万,5万 - 7.5万,10% - 15%,3816115005837935103_5,https://p9-aio.ecombdimg.com/obj/ecom-shop-material/jpeg_m_6c58e77e5266d5a5d4e158c1cd678898_sx_508745_www800-800,https://p3-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/781e00c11fb44fa782ea14d66144cc0d~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818402801&x-signature=SgdeGJD6Ac2VelgXpEQZj238gpA%3D
1,6,6 12,3696829326587724193,【西域春】两桶新疆酸奶（包装升级贴纸好撕）多口味可选 共两桶四斤,¥49-¥50,西域春乳品旗舰店,¥250万 - ¥500万,75万 - 100万,7.5万 - 10万,15% - 20%,3696829326587724193_6,https://p9-aio.ecombdimg.com/obj/ecom-shop-material/jpeg_m_46cfe1564f50f8d61c43d9cdc6a3fc28_sx_150181_www720-720,https://p6-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/3b9c9552b0b44894b0c3b1f0dacee49d~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818402657&x-signature=M6b4hPSg%2FDDzjDWmPBD0n%2FAhzWs%3D
1,7,7 首次上榜,3806140124631269504,【总裁生日大场】FITO菲途咖啡黑白绷带经典拿铁速溶咖啡ZC,¥418,FITO官方旗舰店,¥250万 - ¥500万,10万 - 25万,1万 - 2.5万,10% - 15%,3806140124631269504_7,https://p3-aio.ecombdimg.com/obj/ecom-shop-material/jpeg_m_de682a9a3570363642c5bc91d8ae7d52_sx_106763_www1200-1200,https://p6-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/d8ed4212f6c54796b8dd2c56b470c225~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818402797&x-signature=2QE2Nso9srK8gzm2L0S9701rxHA%3D
1,8,8 136,3811664103253082341,阿勒驼【新疆原生奶源！100%纯】阿勒驼双有机100%纯驼乳360g*4罐,¥899,阿勒驼官方旗舰店,¥250万 - ¥500万,10万 - 25万,"2,500 - 5,000",5% - 7.5%,3811664103253082341_8,https://p9-aio.ecombdimg.com/obj/ecom-shop-material/jpeg_m_aac3e7508df15daeb25f7b139d2a3e58_sx_487448_www800-800,https://p6-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/d631312bcd8b40e8a22cd79e3d7f0d9f~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818402237&x-signature=7wyUBT390jviEmx%2B8lsMFt%2By0C0%3D
1,9,9 12,3647084668454575013,椰谷零糖椰汁245g*10瓶0糖椰子汁0蔗糖椰奶果汁植物蛋白饮料整箱,¥29-¥89,椰谷水饮旗舰店,¥250万 - ¥500万,100万 - 250万,10万 - 25万,15% - 20%,3647084668454575013_9,https://p3-aio.ecombdimg.com/obj/ecom-shop-material/jpeg_m_1c7e58139414ddf788eb08d852ad3fe4_sx_485314_www800-800,https://p3-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/6473edf6563446a693e4b2bade13eb2a~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818404165&x-signature=RBBsNZ7HHWSq5vlYCOf6otWnFfY%3D
1,10,10 -,3716433912847794572,【点击预约总裁生日大场】FITO菲途咖啡黑白绷带经典拿铁速溶咖啡ZC,¥418,FITO官方旗舰店,¥250万 - ¥500万,10万 - 25万,1万 - 2.5万,10% - 15%,3716433912847794572_10,https://p3-aio.ecombdimg.com/obj/ecom-shop-material/jpeg_m_c5f666cf3b685af69204f128550cdd0f_sx_107272_www800-800,https://p6-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/d8ed4212f6c54796b8dd2c56b470c225~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818402797&x-signature=2QE2Nso9srK8gzm2L0S9701rxHA%3D
